id	artist	level	popularity	followers	genre1	genre2	genre3	genre4	genre5
1Xyo4u8uXC1ZmMpatF05PJ	The Weeknd	0	97	4036891	canadian pop	pop
73sIBHcqh3Z3NyqHKZ7FOL	Childish Gambino	1	81	1392389	hip hop	indie r&b	pop rap	rap	southern hip hop
13ubrt8QOOCPljQ2FL1Kca	AAP Rocky	1	85	1400009	dwn trap	east coast hip hop	hip hop	pop rap	rap
360IAlyVv4PCEVjgyMZrxK	Miguel	1	78	648650	dance pop	hip hop	hip pop	indie r&b	pop
5ZS223C6JyBfXasXxrRqOk	Jhene Aiko	1	76	622779	dance pop	deep pop r&b	hip pop	indie r&b	pop
2h93pZq0e7k5yf4dywlkpM	Frank Ocean	1	84	1732630	dance pop	indie r&b	neo soul	pop	pop rap
27w1NoOLMX7tJMYqcetPyG	Vic Mensa	2	67	121526	deep underground hip hop	dwn trap	escape room	hip hop	indie r&b
0uFc6StTmJBvdHPZFDkdJy	Casey Veggies	2	61	79383	deep underground hip hop	dwn trap	escape room	hip hop	indie r&b
68kEuyFKyqrdQQLLsmiatm	Vince Staples	2	71	172037	dirty south rap	escape room	hip hop	indie r&b	pop rap
3A5tHz1SfngyOZM2gItYKu	Earl Sweatshirt	2	68	319605	alternative hip hop	escape room	gangster rap	hip hop	indie r&b
4V8LLVI7PbaPR0K2TGSxFF	Tyler, The Creator	2	74	774445	dirty south rap	escape room	gangster rap	hip hop	indie r&b
2P5sC9cVZDToPxyomzF1UH	Joey Bada	2	73	337071	dirty south rap	dwn trap	escape room	gangster rap	hip hop
0ONHkAv9pCAFxb0zJwDNTy	Pusha T	2	77	266836	dirty south rap	dwn trap	gangster rap	hip hop	indie r&b
5dHt1vcEm9qb8fCyLcB3HL	AAP Ferg	2	76	358721	dwn trap	gangster rap	hip hop	indie r&b	pop rap
2iojnBLj0qIMiKPvVhLnsH	Trey Songz	2	78	1353129	dance pop	deep pop r&b	dwn trap	hip hop	hip pop
1Xfmvd48oOhEWkscWyEbh9	Lloyd	2	67	204285	crunk	dance pop	deep pop r&b	dirty south rap	dwn trap
1W3FSF1BLpY3hlVIgvenLz	TheDream	2	69	168551	crunk	dance pop	deep pop r&b	dirty south rap	gangster rap
7G6hXrjGpi6I7waNl4wxAk	J. Holiday	2	56	99707	alternative r&b	bassline	dance pop	deep pop r&b	dirty south rap
6cN9XwPMj9bWzJ32GC6V7v	Mila J	2	56	61404	alternative r&b	dance pop	deep pop r&b	dwn trap	hip pop
6If57j6e3TXXk0HiLcIZca	Sevyn Streeter	2	63	124537	dance pop	deep pop r&b	dwn trap	hip pop	indie r&b
0cGUm45nv7Z6M6qdXYQGTX	Kehlani	2	76	342185	dance pop	deep indie r&b	deep pop r&b	dwn trap	indie r&b
0jUQSUOcM7lxVn5eVGTkzQ	Justine Skye	2	61	42534	deep pop r&b	hip pop	indie r&b	r&b	urban contemporary
4ULO7IGI3M2bo0Ap7B9h8a	Teyana Taylor	2	56	77214	dance pop	deep pop r&b	hip pop	indie r&b	neo soul
1anyVhU62p31KFi8MEzkbf	Chance The Rapper	2	84	829405	dwn trap	hip hop	pop rap	rap	trap music
6aaMZ3fcfLv4tEbmY7bjRM	Isaiah Rashad	3	70	113698	dirty south rap	escape room	hip hop	indie r&b	pop rap
64MoApwh8MFMHUarm13lrv	Chuck Inglish	3	47	14438	rap	underground hip hop
0JdGPxHeRGfOyZg3EHwp2g	Alex Wiley	3	54	19540	deep underground hip hop	escape room	rap	underground hip hop	underground pop rap
